census_tract_id,total_population,under_5,race_hispanic,race_white,race_black,race_asian,supplemental_security,public_assistance,insurance_private,insurance_public,insurance_none,insurance_none_under_five,single_mothers_newborns,bachelors,disability_under_eighteen,spanish_language_difficulties,under_5_percentage,race_hispanic_percentage,race_white_percentage,race_black_percentage,race_asian_percentage,supplemental_security_percentage,public_assistance_percentage,insurance_private_percentage,insurance_public_percentage,insurance_none_percentage,insurance_none_under_five_percentage,single_mothers_newborns_percentage,bachelors_percentage,disability_under_eighteen_percentage,spanish_language_difficulties_percentage,under_5_percentage_percentage,race_hispanic_percentage_percentage,race_white_percentage_percentage
724000,3429,36,911,1482,850,152,9,0,983,144,196,42,20,158,0,119,1%,27%,43%,25%,4%,10%,3%,0%,78%,11%,16%,19%,58%,58%,67%,7%,0%,4%
724101,1042,59,146,682,177,14,37,0,569,514,132,0,0,263,10,35,6%,14%,66%,17%,1%,4%,6%,0%,58%,53%,14%,0%,0%,41%,0%,31%,10%,4%
724200,2770,174,572,1375,365,415,0,0,2197,625,292,20,4,874,0,71,6%,21%,50%,13%,15%,6%,0%,0%,80%,23%,11%,6%,0%,0%,7%,48%,0%,3%
724300,2730,81,336,1848,332,134,30,0,1801,839,207,0,0,905,0,29,3%,12%,68%,12%,5%,6%,2%,0%,71%,33%,8%,0%,0%,0%,0%,45%,0%,1%
724400,3254,98,1066,1808,334,7,47,14,1910,1079,705,44,0,830,36,166,3%,33%,56%,10%,0%,15%,3%,1%,59%,33%,22%,9%,0%,32%,,33%,8%,5%
724500,863,0,177,556,100,14,31,6,525,274,152,13,12,269,0,18,0%,21%,64%,12%,2%,1%,6%,1%,62%,32%,18%,48%,,,100%,36%,0%,2%
724600,1886,189,613,601,651,14,35,14,608,1015,514,45,0,139,16,214,10%,33%,32%,35%,1%,22%,4%,2%,32%,54%,27%,8%,59%,43%,0%,12%,3%,13%
724700,1724,68,379,446,769,14,82,11,569,840,514,29,44,125,12,130,4%,22%,26%,45%,1%,17%,11%,1%,33%,49%,30%,10%,43%,74%,100%,11%,5%,8%
724800,1377,50,512,505,327,1,56,0,766,544,252,0,0,399,0,101,4%,37%,37%,24%,0%,10%,9%,0%,56%,40%,18%,0%,0%,26%,0%,36%,0%,8%
724900,1702,59,760,849,54,21,37,49,897,550,505,7,0,374,0,125,4%,45%,50%,3%,1%,11%,5%,7%,53%,32%,30%,3%,24%,10%,0%,31%,0%,8%
725000,1809,50,953,645,170,13,97,15,937,711,470,40,0,209,1,212,3%,53%,36%,9%,1%,7%,12%,2%,52%,39%,26%,14%,0%,6%,0%,17%,0%,12%
725100,1869,76,569,368,892,0,101,7,713,846,434,25,25,181,23,252,4%,30%,20%,48%,0%,15%,13%,1%,38%,45%,23%,8%,58%,66%,83%,13%,7%,14%
725200,2109,204,1317,338,386,27,33,16,686,854,715,67,33,209,54,462,10%,62%,16%,18%,1%,6%,4%,2%,33%,41%,34%,11%,0%,60%,55%,17%,9%,24%
725300,1897,85,807,965,85,0,50,12,1256,517,310,34,0,607,48,253,5%,43%,51%,5%,0%,4%,6%,1%,66%,27%,16%,8%,0%,0%,0%,46%,12%,14%
725400,3869,220,1701,1860,297,0,61,0,1957,1500,827,153,0,478,82,543,6%,44%,48%,8%,0%,11%,4%,0%,51%,39%,21%,17%,68%,41%,0%,18%,11%,15%
725500,1042,17,148,812,60,9,27,0,818,290,94,13,0,350,23,0,2%,14%,78%,6%,1%,7%,5%,0%,79%,28%,9%,8%,0%,0%,0%,41%,16%,0%
725600,4574,264,1534,2127,646,53,68,58,2659,1434,924,132,0,797,14,353,6%,34%,47%,14%,1%,6%,3%,3%,58%,31%,20%,15%,29%,25%,0%,26%,2%,8%
725700,2312,129,553,1462,64,200,58,42,1745,689,231,63,0,876,15,110,6%,24%,63%,3%,9%,1%,6%,5%,76%,30%,10%,12%,0%,0%,0%,51%,3%,5%
725800,4560,238,1237,2007,1107,171,207,0,2325,2077,1117,199,42,1213,131,384,5%,27%,44%,24%,4%,4%,10%,0%,51%,46%,25%,21%,15%,27%,40%,35%,14%,9%
725900,2545,29,559,1551,313,101,15,8,1838,512,354,86,0,731,20,74,1%,22%,61%,12%,4%,5%,1%,1%,75%,21%,14%,17%,0%,0%,0%,39%,4%,3%
726000,1369,31,253,1091,12,0,16,5,1111,414,86,5,0,357,0,3,2%,19%,80%,1%,0%,7%,3%,1%,81%,30%,6%,2%,0%,0%,0%,34%,0%,0%
726101,2042,54,142,1800,0,100,0,0,1719,550,143,58,0,863,0,0,3%,7%,88%,0%,5%,8%,0%,0%,84%,27%,7%,21%,,0%,,51%,0%,0%
726102,832,0,49,765,0,18,14,0,435,460,106,0,0,244,0,0,0%,6%,92%,0%,2%,15%,4%,0%,52%,55%,13%,,,,,31%,,0%
